Raid Report,Street Address,City ,State
"Report-5451: Dec. 16 W 26th St & S Keeler Ave, Chicago, IL 60623","W 26th St & S Keeler Ave, Chicago, IL 60623",,
"Report-5390: Dec. 16 2728 S Harding, Chicago, IL 60623","2728 S Harding, Chicago, IL 60623",,
"Report-5447: Dec. 16 5336 S State St, Chicago, IL 60609","5336 S State St, Chicago, IL 60609",,
"Report-5446: Dec. 16 1898 Hartmann Dr, Hanover Park, IL 60133","1898 Hartmann Dr, Hanover Park, IL 60133",,
"Report-5445: Dec. 16 W Cermak Rd & S Western Ave, Chicago, IL 60608","W Cermak Rd & S Western Ave, Chicago, IL 60608",,
"Report-5449: Dec. 16 1930 Beach St, Broadview, IL 60155","1930 Beach St, Broadview, IL 60155",,
"Report-5450: Dec. 16 1930 Beach St, Broadview, IL 60155","1930 Beach St, Broadview, IL 60155",,
"Report-5444: Dec. 16 S Cicero Ave & S Archer Ave, Chicago, IL 60638","S Cicero Ave & S Archer Ave, Chicago, IL 60638",,
"Report-5443: Dec. 16 5309 S Maplewood Ave, Chicago, IL 60632","5309 S Maplewood Ave, Chicago, IL 60632",,
"Report-5352: Dec. 16 W 47th St & S Hermitage Ave, Chicago, IL 60609","W 47th St & S Hermitage Ave, Chicago, IL 60609",,
"Report-5442: Dec. 16 W 44th St & S Western Ave, Chicago, IL 60609","W 44th St & S Western Ave, Chicago, IL 60609",,
"Report-5440: Dec. 16 W 45th St & S Rockwell St, Chicago, IL 60632","W 45th St & S Rockwell St, Chicago, IL 60632",,
"Report-5437: Dec. 16 4555 S Western Blvd, Chicago, IL 60609","4555 S Western Blvd, Chicago, IL 60609",,
"Report-5441: Dec. 16 S Western Ave & W 50th St, Chicago, IL 60609","S Western Ave & W 50th St, Chicago, IL 60609",,
Report-5359: Dec. 16 27th & Hamlin,27th & Hamlin,,
"Report-5448: Dec. 16 N Wolcott Ave & Irving Park Rd, Chicago, IL 60613","N Wolcott Ave & Irving Park Rd, Chicago, IL 60613",,
"Report-5435: Dec. 16 W Pershing Rd & S Morgan St, Chicago, IL 60609","W Pershing Rd & S Morgan St, Chicago, IL 60609",,
"Report-5436: Dec. 16 W 45th St & S Western Blvd, Chicago, IL 60609","W 45th St & S Western Blvd, Chicago, IL 60609",,
