ID,Address,City,State,oneline,zipcode,lat,lon
213,744 E 103rd St,Chicago,IL,"744 E 103rd St, Chicago, IL",60628,41.707509592735,-87.605677354537
214,8440 S Phillips Ave,Chicago,IL,"8440 S Phillips Ave, Chicago, IL",60617,41.74190489418,-87.564948077031
215,650 E 91st Pl,Chicago,IL,"650 E 91st Pl, Chicago, IL",60619,41.728441717421,-87.608235904975
216,8045 S Kenwood Ave,Chicago,IL,"8045 S Kenwood Ave, Chicago, IL",60619,41.748781084748,-87.591699749101
217,9130 S University Ave,Chicago,IL,"9130 S University Ave, Chicago, IL",60619,41.728574969706,-87.596224166721
218,8605 S Cregier Ave,Chicago,IL,"8605 S Cregier Ave, Chicago, IL",60617,41.738405148723,-87.58052492377
219,1955 E 75th St,Chicago,IL,"1955 E 75th St, Chicago, IL",60649,41.758815043206,-87.576695384961
220,9351 S Lowe Ave,Chicago,IL,"9351 S Lowe Ave, Chicago, IL",60620,41.724232286848,-87.639568189487
221,9300 S Princeton Ave,Chicago,IL,"9300 S Princeton Ave, Chicago, IL",60620,41.725564207129,-87.630156635834
222,9349 S Wentworth Ave,Chicago,IL,"9349 S Wentworth Ave, Chicago, IL",60620,41.724446506003,-87.62865609693
223,9800 S Parnell Ave,Chicago,IL,"9800 S Parnell Ave, Chicago, IL",60628,41.715827576309,-87.637074673035
224,9349 S Wentworth Ave,Chicago,IL,"9349 S Wentworth Ave, Chicago, IL",60620,41.724446506003,-87.62865609693
225,9652 S Michigan Ave,Chicago,IL,"9652 S Michigan Ave, Chicago, IL",60628,41.71875749062,-87.620598645108
226,132 W 104th St,Chicago,IL,"132 W 104th St, Chicago, IL",60628,41.705363592267,-87.626459596341
227,9912 S Princeton Ave,Chicago,IL,"9912 S Princeton Ave, Chicago, IL",60628,41.713500443205,-87.630952872518
228,10014 S Michigan Ave,Chicago,IL,"10014 S Michigan Ave, Chicago, IL",60628,41.712193774745,-87.620154181091
229,550 E 103rd St,Chicago,IL,"550 E 103rd St, Chicago, IL",60628,41.707426470316,-87.610035025859
230,132 W 104th St,Chicago,IL,"132 W 104th St, Chicago, IL",60628,41.705363592267,-87.626459596341
231,10115 S Prairie Ave,Chicago,IL,"10115 S Prairie Ave, Chicago, IL",60628,41.710597619959,-87.617425516933
232,10650 S Eberhart Ave,Chicago,IL,"10650 S Eberhart Ave, Chicago, IL",60628,41.700444880187,-87.611214512088
233,821 E 103rd St,Chicago,IL,"821 E 103rd St, Chicago, IL",60628,41.707453684687,-87.602387218254
234,10650 S Eberhart Ave,Chicago,IL,"10650 S Eberhart Ave, Chicago, IL",60628,41.700444880187,-87.611214512088
235,10858 S Michigan Ave,Chicago,IL,"10858 S Michigan Ave, Chicago, IL",60628,41.697014051382,-87.620912952847
236,138 W 109th St,Chicago,IL,"138 W 109th St, Chicago, IL",60628,41.696245223658,-87.626317304737
